step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
41,2.44358864196085e-10,4.0891007518175e-07,6.83658274191393e-09,6.5095499588414e-09,-7.10318959207257e-09,-7.10318959207257e-09,1.18366852357382e-08,1.59277895252064e-20,1.26205346658556e-10,4.78067017892039e-17,6.91423906075021e-09,9.30125177546345e-21,9.64429975449926e-11,1,0.0096065
42,2.54141807295025e-10,4.27703323703055e-07,7.1516704273608e-09,6.68845606203419e-09,-7.42963157662757e-09,-7.42963157662757e-09,1.23154426474142e-08,1.70863673511582e-20,1.30714832177371e-10,5.02796404990264e-17,7.0908138107714e-09,9.08119819622382e-21,9.52953209566127e-11,1,0.0098042
43,2.64403429836247e-10,4.46972657339758e-07,7.47441795531746e-09,6.84664191677936e-09,-7.76436159810601e-09,-7.76436159810601e-09,1.27934043384759e-08,1.83148047083213e-20,1.35332201298587e-10,5.29166533843452e-17,7.27438336798008e-09,8.87106959275095e-21,9.41863556612684e-11,1,0.009482
44,2.75163668475596e-10,4.66656229459669e-07,7.80377370460758e-09,6.98267272129454e-09,-8.10630451653083e-09,-8.10630451653083e-09,1.32690713615745e-08,1.96193556115173e-20,1.40069110126099e-10,5.57155534164863e-17,7.46428519126154e-09,8.67023693640374e-21,9.31141070751567e-11,1,0.0096116
45,2.86439084557838e-10,4.86688075196389e-07,8.13862890331085e-09,7.09521464210039e-09,-8.4543136935622e-09,-8.4543136935622e-09,1.37409857650873e-08,2.1006644357091e-20,1.44936690858771e-10,5.86733120027051e-17,7.65985065146215e-09,8.47813466334789e-21,9.20767867779273e-11,1,0.0095263
46,2.98241559097697e-10,5.06998646316146e-07,8.47782168416619e-09,7.18306426230569e-09,-8.80718031837091e-09,-8.80718031837091e-09,1.42077445691832e-08,2.24836309487418e-20,1.49945426568274e-10,6.1786066214454e-17,7.86041132603466e-09,8.29425286477339e-21,9.10727888272528e-11,1,0.0096073
47,3.10579286419786e-10,5.27514943820361e-07,8.82014121261807e-09,7.24512212016541e-09,-9.16363562808442e-09,-9.16363562808442e-09,1.46679803837638e-08,2.40575854637265e-20,1.55105078781214e-10,6.50491211575184e-17,8.06530353784149e-09,8.11813266898056e-21,9.01006807353893e-11,1,0.0099616
48,3.2345582557305e-10,5.48161154735727e-07,9.16433360354478e-09,7.28050088876612e-09,-9.5223620100171e-09,-9.5223620100171e-09,1.51204156038743e-08,2.57360455810893e-20,1.60424579105227e-10,6.84569929674427e-17,8.27387412083618e-09,7.94935961137252e-21,8.91591813072132e-11,1,0.0096351
49,3.36870616695013e-10,5.68858708335581e-07,9.50910718146255e-09,7.28840916394519e-09,-9.88199388984867e-09,-9.88199388984867e-09,1.55637969808783e-08,2.75267755160156e-20,1.65911951094596e-10,7.20034171203927e-17,8.48548272759969e-09,7.78755541350291e-21,8.82471269419175e-11,1,0.0101254
50,3.50818067646168e-10,5.89527170343045e-07,9.85313885312674e-09,7.26827615558256e-09,-1.02411332747465e-08,-1.02411332747465e-08,1.59969587998063e-08,2.94377063374351e-20,1.71574200675495e-10,7.56814025948389e-17,8.69950588222336e-09,7.63237692727159e-21,8.73634759340057e-11,1,0.0097121
51,3.65287869878378e-10,6.10084601365599e-07,1.01950811320405e-08,7.21966906885287e-09,-1.05983559706146e-08,-1.05983559706146e-08,1.64187795144479e-08,3.14768734265106e-20,1.77417229790431e-10,7.94832637350195e-17,8.9153386775276e-09,7.48350701440125e-21,8.65072656740534e-11,1,0.0097102
52,3.80264392018213e-10,6.30447763519784e-07,1.05335698787613e-08,7.14239517895807e-09,-1.09522151348074e-08,-1.09522151348074e-08,1.68282226914642e-08,3.36523375497889e-20,1.83445734618685e-10,8.3400683258452e-17,9.13239745403429e-09,7.34065155657727e-21,8.56776024208035e-11,1,0.0096002
53,3.95728387022113e-10,6.50533415949425e-07,1.08672312486825e-08,7.03636777147257e-09,-1.1301263924679e-08,-1.1301263924679e-08,1.72242842534824e-08,3.59721228091348e-20,1.89663182534552e-10,8.74247452355522e-17,9.35012006530142e-09,7.20353787950563e-21,8.4873658336999e-11,1,0.0099135
54,4.11654798362291e-10,6.70257663687142e-07,1.11946887808862e-08,6.90171382253197e-09,-1.16440439512644e-08,-1.16440439512644e-08,1.76060252551147e-08,3.84441144796082e-20,1.96071707493989e-10,9.15459930142223e-17,9.56796702618808e-09,7.07190915029526e-21,8.40946440048072e-11,1,0.0099922
55,4.28015082519152e-10,6.89537077192499e-07,1.15145716682756e-08,6.73872501196218e-09,-1.19791048192042e-08,-1.19791048192042e-08,1.79725566193612e-08,4.10759835047767e-20,2.02672108354299e-10,9.57544802582573e-17,9.78542182321525e-09,6.94552103672532e-21,8.3339792636683e-11,1,0.0098204
56,4.44775862878137e-10,7.0828945270629e-07,1.18255234399769e-08,6.54794221066082e-09,-1.2305017449421e-08,-1.2305017449421e-08,1.83230729206109e-08,4.38750832314591e-20,2.09463799334059e-10,1.0003984670461e-16,1.00019921368001e-08,6.82413987641283e-21,8.26083523405039e-11,1,0.0115127
57,4.61900384927352e-10,7.26433816553061e-07,1.21262086456131e-08,6.33000246865915e-09,-1.26203740791198e-08,-1.26203740791198e-08,1.86567866157621e-08,4.68483618694342e-20,2.16444824076332e-10,1.04391352671654e-16,1.02172086536223e-08,6.70754260493886e-21,8.18995885517068e-11,1,0.0097329
58,4.7934773643585e-10,7.4389073225678e-07,1.24153194050801e-08,6.08575582220682e-09,-1.29237935908577e-08,-1.29237935908577e-08,1.89729686121443e-08,5.00022565342055e-20,2.23611843456928e-10,1.08797942073132e-16,1.04306252004917e-08,6.59551266537611e-21,8.12127617149922e-11,1,0.0098831
59,4.97073841021886e-10,7.60583116376329e-07,1.26915828249549e-08,5.81621827201387e-09,-1.32139357233996e-08,-1.32139357233996e-08,1.92709333167127e-08,5.3342598006986e-20,2.3096016541167e-10,1.13248296798964e-16,1.06418183032301e-08,6.48783974773891e-21,8.05471274952677e-11,1,0.0104383
60,5.15031122754755e-10,7.76436343730191e-07,1.29537680000698e-08,5.52262673089544e-09,-1.34895028480742e-08,-1.34895028480742e-08,1.95500489621874e-08,5.68745056636366e-20,2.38483763941356e-10,1.1773089875938e-16,1.08503870326998e-08,6.38432013604172e-21,7.99019407526608e-11,1,0.0101565
61,5.33169420595877e-10,7.91378650464735e-07,1.32006927072212e-08,5.20642900449961e-09,-1.37492470742018e-08,-1.37492470742018e-08,1.98097276489481e-08,6.06022946045367e-20,2.46175333054587e-10,1.22234085821119e-16,1.105595250628e-08,6.28475254200476e-21,7.92764311886248e-11,1,0.0098528
62,5.5143640326464e-10,8.05342204937636e-07,1.34312290030944e-08,4.86931140718738e-09,-1.39919889008411e-08,-1.39919889008411e-08,2.00494328174619e-08,6.45293883503577e-20,2.54026353653234e-10,1.26746112764358e-16,1.12581576096783e-08,6.1889443239833e-21,7.86698438029675e-11,1,0.0098819
63,5.69777258234409e-10,8.18261793546803e-07,1.36443077488955e-08,4.51319671527346e-09,-1.42165941241501e-08,-1.42165941241501e-08,2.02686466697455e-08,6.86582254241794e-20,2.62027146349723e-10,1.31255190939892e-16,1.14566657863399e-08,6.09670490682648e-21,7.80813992371197e-11,1,0.0097912
